none,none
Tada,Tada
Grow,Grow
Shrik,Shrik
Rotate,Rotate
Buzz,Buzz
"WhatsApp Contact","WhatsApp Contact"
Configuration,Configuration
"Enable only in Mobile","Enable only in Mobile"
"WhatsApp Number","WhatsApp Number"
"Default WhatsApp Message","Default WhatsApp Message"
"Frontend Settings","Frontend Settings"
"Button Color","Button Color"
"Icon Color","Icon Color"
"Top Position","Top Position"
"Left Position","Left Position"
"Right Position","Right Position"
"Bottom Position","Bottom Position"
"Button Animation Effect","Button Animation Effect"
